[Kavita] [2025-03-05 12:45:00.065 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x12-46ba0f7b753fdc23bb9b828c8c965082dbbf13d4d702746f4caceb0f50f4ffeb.png
[Kavita] [2025-03-05 12:45:00.103 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x18-0a5814378ba4b211e5dbdc6a333b1d93ae711ade5ae8af17edb7cd8eb4bcb908.png
[Kavita] [2025-03-05 12:45:00.142 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x9-9206ba1ad96e4e4cefeea1c479ce1102a16804e31bdc8b417ce7e7352465aac9.png
[Kavita] [2025-03-05 12:45:00.172 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x15-da96db439795c043ea0e727eacc2e40ee0e5733a6077af119b6db119688a7107.png
[Kavita] [2025-03-05 12:45:00.205 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x17-2e8b0620fc742e0f8b27bbc5fa7c4b44d5a44a544e435a398ae748dc117c0abd.png
[Kavita] [2025-03-05 12:45:00.233 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x6-171265287bd87c8b767442d8e5f45c6b643d50c1ca2b010f4b0a426ee0fbd4fb.png
[Kavita] [2025-03-05 12:45:00.252 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x2-da31570666b53fa548b9eea94a8704c7985bee60496bc17f3fb19046260ededd.png
[Kavita] [2025-03-05 12:45:00.276 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x16-283d3c1aa5d4234ccb553f9a3499255f8535cf72779f70b0bca1afc12c23179b.png
[Kavita] [2025-03-05 12:45:00.318 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x14-cdb581be333250f0eb1b6225441c2c7d13cca2dbdfd8386ac160d5b1c577a24c.png
[Kavita] [2025-03-05 12:45:00.346 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x1-6946da2f0a79f2c5dad2ff529f7378d3235bc4f2569648c67ccf211f3f7f9b42.png
[Kavita] [2025-03-05 12:45:00.370 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x10-d16706d3c5ce3589b744409bed7dbf0287611713b48158723fbf8e3131796ff2.png
[Kavita] [2025-03-05 12:45:00.394 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x8-386bcdf0b1eb591593faaa6b6e8efb8341525abead818e3fc88e4ff407a437e8.png
[Kavita] [2025-03-05 12:45:00.415 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x3-c25cc9974f188b237f5bec85fc37d44e7ff1e317a99caf1a2a17bb23c5810349.png
[Kavita] [2025-03-05 12:45:00.468 +01:00  42] [Information] API.Services.MetadataService [MetadataService] Updated covers for Eromanga Sensei in 931 milliseconds
